venue,full_date,match_start_time_estimated,segment_start_time_estimated,gender,batting_team,bowling_team,over_range,total_runs,latitude,longitude,temperature_C,humidity_%,wind_speed_kmh,precip_mm,pressure_hPa
Melbourne Cricket Ground,2007-02-04,10:00,10:00,male,New Zealand,Australia,1-10,42,-37.819909,144.983225,NA,NA,NA,NA,NA
Melbourne Cricket Ground,2007-02-04,10:00,10:45,male,New Zealand,Australia,11-20,60,-37.819909,144.983225,NA,NA,NA,NA,NA
Melbourne Cricket Ground,2007-02-04,10:00,11:30,male,New Zealand,Australia,21-30,52,-37.819909,144.983225,NA,NA,NA,NA,NA
Melbourne Cricket Ground,2007-02-04,10:00,12:15,male,New Zealand,Australia,31-40,50,-37.819909,144.983225,NA,NA,NA,NA,NA
Melbourne Cricket Ground,2007-02-04,10:00,13:00,male,New Zealand,Australia,41-50,86,-37.819909,144.983225,NA,NA,NA,NA,NA
Melbourne Cricket Ground,2007-02-04,10:00,10:00,male,Australia,New Zealand,1-10,53,-37.819909,144.983225,NA,NA,NA,NA,NA
Melbourne Cricket Ground,2007-02-04,10:00,10:45,male,Australia,New Zealand,11-20,45,-37.819909,144.983225,NA,NA,NA,NA,NA
Melbourne Cricket Ground,2007-02-04,10:00,11:30,male,Australia,New Zealand,21-30,42,-37.819909,144.983225,NA,NA,NA,NA,NA
Melbourne Cricket Ground,2007-02-04,10:00,12:15,male,Australia,New Zealand,31-40,71,-37.819909,144.983225,NA,NA,NA,NA,NA
Melbourne Cricket Ground,2007-02-04,10:00,13:00,male,Australia,New Zealand,41-50,80,-37.819909,144.983225,NA,NA,NA,NA,NA
Dubai International Cricket Stadium,2022-04-15,10:00,10:00,male,Oman,Scotland,1-10,33,25.0467384,55.219007,NA,NA,NA,NA,NA
Dubai International Cricket Stadium,2022-04-15,10:00,10:45,male,Oman,Scotland,11-20,36,25.0467384,55.219007,NA,NA,NA,NA,NA
Dubai International Cricket Stadium,2022-04-15,10:00,11:30,male,Oman,Scotland,21-30,44,25.0467384,55.219007,NA,NA,NA,NA,NA
Dubai International Cricket Stadium,2022-04-15,10:00,12:15,male,Oman,Scotland,31-40,42,25.0467384,55.219007,NA,NA,NA,NA,NA
Dubai International Cricket Stadium,2022-04-15,10:00,13:00,male,Oman,Scotland,41-50,70,25.0467384,55.219007,NA,NA,NA,NA,NA
Dubai International Cricket Stadium,2022-04-15,10:00,10:00,male,Scotland,Oman,1-10,27,25.0467384,55.219007,NA,NA,NA,NA,NA
Dubai International Cricket Stadium,2022-04-15,10:00,10:45,male,Scotland,Oman,11-20,58,25.0467384,55.219007,NA,NA,NA,NA,NA
Dubai International Cricket Stadium,2022-04-15,10:00,11:30,male,Scotland,Oman,21-30,32,25.0467384,55.219007,NA,NA,NA,NA,NA
Dubai International Cricket Stadium,2022-04-15,10:00,12:15,male,Scotland,Oman,31-40,46,25.0467384,55.219007,NA,NA,NA,NA,NA
Dubai International Cricket Stadium,2022-04-15,10:00,13:00,male,Scotland,Oman,41-50,63,25.0467384,55.219007,NA,NA,NA,NA,NA
Boland Park,2016-10-19,10:00,10:00,female,New Zealand,South Africa,1-10,14,-33.7406522,18.9974819,NA,NA,NA,NA,NA
Boland Park,2016-10-19,10:00,10:45,female,New Zealand,South Africa,11-20,44,-33.7406522,18.9974819,NA,NA,NA,NA,NA
Boland Park,2016-10-19,10:00,11:30,female,New Zealand,South Africa,21-30,53,-33.7406522,18.9974819,NA,NA,NA,NA,NA
Boland Park,2016-10-19,10:00,12:15,female,New Zealand,South Africa,31-40,35,-33.7406522,18.9974819,NA,NA,NA,NA,NA
Boland Park,2016-10-19,10:00,13:00,female,New Zealand,South Africa,41-50,62,-33.7406522,18.9974819,NA,NA,NA,NA,NA
Boland Park,2016-10-19,10:00,10:00,female,South Africa,New Zealand,1-10,28,-33.7406522,18.9974819,NA,NA,NA,NA,NA
Boland Park,2016-10-19,10:00,10:45,female,South Africa,New Zealand,11-20,36,-33.7406522,18.9974819,NA,NA,NA,NA,NA
Boland Park,2016-10-19,10:00,11:30,female,South Africa,New Zealand,21-30,34,-33.7406522,18.9974819,NA,NA,NA,NA,NA
Boland Park,2016-10-19,10:00,12:15,female,South Africa,New Zealand,31-40,15,-33.7406522,18.9974819,NA,NA,NA,NA,NA
"R Premadasa Stadium, Colombo",2021-09-04,10:00,10:00,male,South Africa,Sri Lanka,1-10,50,6.9399983,79.8722901,NA,NA,NA,NA,NA
"R Premadasa Stadium, Colombo",2021-09-04,10:00,10:45,male,South Africa,Sri Lanka,11-20,50,6.9399983,79.8722901,NA,NA,NA,NA,NA
"R Premadasa Stadium, Colombo",2021-09-04,10:00,11:30,male,South Africa,Sri Lanka,21-30,47,6.9399983,79.8722901,NA,NA,NA,NA,NA
"R Premadasa Stadium, Colombo",2021-09-04,10:00,12:15,male,South Africa,Sri Lanka,31-40,62,6.9399983,79.8722901,NA,NA,NA,NA,NA
"R Premadasa Stadium, Colombo",2021-09-04,10:00,13:00,male,South Africa,Sri Lanka,41-50,74,6.9399983,79.8722901,NA,NA,NA,NA,NA
"R Premadasa Stadium, Colombo",2021-09-04,10:00,10:00,male,Sri Lanka,South Africa,1-10,43,6.9399983,79.8722901,NA,NA,NA,NA,NA
"R Premadasa Stadium, Colombo",2021-09-04,10:00,10:45,male,Sri Lanka,South Africa,11-20,44,6.9399983,79.8722901,NA,NA,NA,NA,NA
"R Premadasa Stadium, Colombo",2021-09-04,10:00,11:30,male,Sri Lanka,South Africa,21-30,66,6.9399983,79.8722901,NA,NA,NA,NA,NA
"R Premadasa Stadium, Colombo",2021-09-04,10:00,12:15,male,Sri Lanka,South Africa,31-40,44,6.9399983,79.8722901,NA,NA,NA,NA,NA
Reliance Stadium,2005-11-12,10:00,10:00,male,Sri Lanka,India,1-10,31,17.4891696,78.3236847,NA,NA,NA,NA,NA
Reliance Stadium,2005-11-12,10:00,10:45,male,Sri Lanka,India,11-20,37,17.4891696,78.3236847,NA,NA,NA,NA,NA
