venue,full_date,match_start_time_estimated,segment_start_time_estimated,gender,batting_team,bowling_team,over_range,total_runs
Reliance Stadium,2005-11-12,10:00,10:00,male,India,Sri Lanka,1-10,82
Reliance Stadium,2005-11-12,10:00,10:45,male,India,Sri Lanka,11-20,50
Reliance Stadium,2005-11-12,10:00,11:30,male,India,Sri Lanka,21-30,61
Reliance Stadium,2005-11-12,10:00,12:15,male,India,Sri Lanka,31-40,52
"Warner Park, Basseterre",2016-06-11,10:00,10:00,male,Australia,South Africa,1-10,48
"Warner Park, Basseterre",2016-06-11,10:00,10:45,male,Australia,South Africa,11-20,50
"Warner Park, Basseterre",2016-06-11,10:00,11:30,male,Australia,South Africa,21-30,55
"Warner Park, Basseterre",2016-06-11,10:00,12:15,male,Australia,South Africa,31-40,45
"Warner Park, Basseterre",2016-06-11,10:00,13:00,male,Australia,South Africa,41-50,90
"Warner Park, Basseterre",2016-06-11,10:00,10:00,male,South Africa,Australia,1-10,50
"Warner Park, Basseterre",2016-06-11,10:00,10:45,male,South Africa,Australia,11-20,64
"Warner Park, Basseterre",2016-06-11,10:00,11:30,male,South Africa,Australia,21-30,60
"Warner Park, Basseterre",2016-06-11,10:00,12:15,male,South Africa,Australia,31-40,45
"Warner Park, Basseterre",2016-06-11,10:00,13:00,male,South Africa,Australia,41-50,33
Sheikh Zayed Stadium,2010-10-29,10:00,10:00,male,Pakistan,South Africa,1-10,32
Sheikh Zayed Stadium,2010-10-29,10:00,10:45,male,Pakistan,South Africa,11-20,52
Sheikh Zayed Stadium,2010-10-29,10:00,11:30,male,Pakistan,South Africa,21-30,56
Sheikh Zayed Stadium,2010-10-29,10:00,12:15,male,Pakistan,South Africa,31-40,34
Sheikh Zayed Stadium,2010-10-29,10:00,13:00,male,Pakistan,South Africa,41-50,29
Sheikh Zayed Stadium,2010-10-29,10:00,10:00,male,South Africa,Pakistan,1-10,55
Sheikh Zayed Stadium,2010-10-29,10:00,10:45,male,South Africa,Pakistan,11-20,50
Sheikh Zayed Stadium,2010-10-29,10:00,11:30,male,South Africa,Pakistan,21-30,51
Sheikh Zayed Stadium,2010-10-29,10:00,12:15,male,South Africa,Pakistan,31-40,51
"Seddon Park, Hamilton",2025-04-02,10:00,10:00,male,New Zealand,Pakistan,1-10,72
