venue,full_date,match_start_time_estimated,segment_start_time_estimated,gender,batting_team,bowling_team,over_range,total_runs,latitude,longitude,temperature_C,humidity_%,wind_speed_kmh,AQI
"Seddon Park, Hamilton",2025-04-02,10:00,11:30,male,Pakistan,New Zealand,21-30,58,-37.7867613,175.2742998,18.2,68.0,14.6,34.0
"Seddon Park, Hamilton",2025-04-02,10:00,12:15,male,Pakistan,New Zealand,31-40,81,-37.7867613,175.2742998,18.2,68.0,14.6,34.0
"Seddon Park, Hamilton",2025-04-02,10:00,13:00,male,Pakistan,New Zealand,41-50,6,-37.7867613,175.2742998,18.2,68.0,14.6,34.0
"MA Chidambaram Stadium, Chepauk",2011-02-20,10:00,10:00,male,Kenya,New Zealand,1-10,33,13.0627521,80.2784304,30.1,61.0,15.4,
"MA Chidambaram Stadium, Chepauk",2011-02-20,10:00,10:45,male,Kenya,New Zealand,11-20,26,13.0627521,80.2784304,30.1,61.0,15.4,
"MA Chidambaram Stadium, Chepauk",2011-02-20,10:00,11:30,male,Kenya,New Zealand,21-30,10,13.0627521,80.2784304,30.1,61.0,15.4,
"MA Chidambaram Stadium, Chepauk",2011-02-20,10:00,10:00,male,New Zealand,Kenya,1-10,72,13.0627521,80.2784304,30.1,61.0,15.4,
Adelaide Oval,2005-01-26,10:00,10:00,male,Australia,West Indies,1-10,43,-34.9155596,138.5962772,28.4,46.0,14.8,35.0
Adelaide Oval,2005-01-26,10:00,10:45,male,Australia,West Indies,11-20,60,-34.9155596,138.5962772,28.4,46.0,14.8,35.0
Adelaide Oval,2005-01-26,10:00,11:30,male,Australia,West Indies,21-30,58,-34.9155596,138.5962772,28.4,46.0,14.8,35.0
Adelaide Oval,2005-01-26,10:00,12:15,male,Australia,West Indies,31-40,41,-34.9155596,138.5962772,28.4,46.0,14.8,35.0
Adelaide Oval,2005-01-26,10:00,13:00,male,Australia,West Indies,41-50,67,-34.9155596,138.5962772,28.4,46.0,14.8,35.0
